source,target,similarity,weight,relation_definition,source_context_id,source_chapter_number,source_representative_context,target_context_id,target_chapter_number,target_representative_context
徐晃,许褚,0.8851526975631714,0.8851526975631714,mutual_semantic_context_similarity,CONTEXT002382,76,讫，挥大斧直取关公。公大怒，亦挥刀迎之，战八十余合。公虽武艺绝伦，终是右臂少力。关平恐公有失，火急鸣金。公拨马回寨，忽闻四下里喊声大震。原来是樊城曹仁闻曹操救兵至，引军杀出城来，与徐晃会合，两下夹攻。荆州兵大乱。关公上马，引众将急奔襄江上流头。背后魏兵追至。关公急渡过襄江，望襄阳而奔。忽流星马到，报说：「荆州已被吕蒙所夺，家眷被陷。」关公大惊，不敢奔襄阳，提兵投,CONTEXT003390,50,正说间，前军后军一齐发喊。操大惊，弃甲上马。众军多有不及收马者。早见四下火烟布合山口，一军摆开。为首乃燕人张翼德，横矛立马，大叫：「操贼走那里去！」诸军众将见了张飞，尽皆胆寒。许褚骑无鞍马来战张飞。张辽，徐晃二将，纵马也来夹攻。两边军马混战做一团。操先拨马走脱，诸将各自脱身。张飞从后赶来。操迤逦奔逃，追兵渐远，回顾众将多已带伤。
徐晃,曹洪,0.8650169968605042,0.8650169968605042,mutual_semantic_context_similarity,CONTEXT002382,76,讫，挥大斧直取关公。公大怒，亦挥刀迎之，战八十余合。公虽武艺绝伦，终是右臂少力。关平恐公有失，火急鸣金。公拨马回寨，忽闻四下里喊声大震。原来是樊城曹仁闻曹操救兵至，引军杀出城来，与徐晃会合，两下夹攻。荆州兵大乱。关公上马，引众将急奔襄江上流头。背后魏兵追至。关公急渡过襄江，望襄阳而奔。忽流星马到，报说：「荆州已被吕蒙所夺，家眷被陷。」关公大惊，不敢奔襄阳，提兵投,CONTEXT002642,58,时徐晃正在关上点视粮草，闻曹洪下关厮杀，大惊，急引兵随后赶来，大叫曹洪回马；忽然背后喊声大震，马岱引军杀至。曹洪，徐晃急回走时，一棒鼓响，山背后两军截出：左是马超，右是庞德，混杀一阵。曹洪抵挡不住，折军大半，撞
华歆,曹丕,0.8472115993499756,0.8472115993499756,mutual_semantic_context_similarity,CONTEXT000623,80,栗不已。只见阶下披甲持戈数百余人，皆是魏兵。帝泣谓群臣曰：「朕愿将天下禅于魏王，幸留残喘，以终天年。」贾诩曰：「魏王必不负陛下。陛下可急降诏，以安众心。」帝只得令陈群草禅国之诏，令华歆赍捧诏玺，引百官直至魏王宫献纳。曹丕大喜。开读诏曰：,CONTEXT002417,80,曹丕听毕，便欲受诏。司马懿谏曰：「不可：虽然诏玺已至，殿下宜且上表谦辞，以绝天下之谤。」丕从之，令王朗作表，自称德薄，请别求大贤以嗣天位。帝览表，心甚惊疑，谓群臣曰：「魏王谦逊，如之奈
刘备,孙乾,0.8280437588691711,0.8280437588691711,mutual_semantic_context_similarity,CONTEXT000252,42,玄德教请孔明出来相见。肃见孔明礼毕，问曰：「向慕先生才德，未得拜晤；今幸相遇，愿闻目今安危之事。」孔明曰：「曹操奸计，亮已尽知；但恨力未及，故且避之。」肃曰：「皇叔今将止于此乎？」孔明,CONTEXT001516,54,当日二人并辔而回。南徐之民，无不称贺。玄德自回馆驿，与孙干商议。干曰：「主公只是哀求乔国老，早早毕姻，免生别事。」次日，玄德复至乔国老宅前下马。国老接入，礼毕，茶罢，玄德告曰：「江左之人，多有要害刘备者，恐不能久居。」国老曰：「玄德宽心：
张辽,许褚,0.8269314169883728,0.8269314169883728,mutual_semantic_context_similarity,CONTEXT002042,50,齐发喊。操大惊，弃甲上马。众军多有不及收马者。早见四下火烟布合山口，一军摆开。为首乃燕人张翼德，横矛立马，大叫：「操贼走那里去！」诸军众将见了张飞，尽皆胆寒。许褚骑无鞍马来战张飞。张辽，徐晃二将，纵马也来夹攻。两边军马混战做一团。操先拨马走脱，诸将各自脱身。张飞从后赶来。操迤逦奔逃，追兵渐远，回顾众将多已带伤。,CONTEXT003390,50,正说间，前军后军一齐发喊。操大惊，弃甲上马。众军多有不及收马者。早见四下火烟布合山口，一军摆开。为首乃燕人张翼德，横矛立马，大叫：「操贼走那里去！」诸军众将见了张飞，尽皆胆寒。许褚骑无鞍马来战张飞。张辽，徐晃二将，纵马也来夹攻。两边军马混战做一团。操先拨马走脱，诸将各自脱身。张飞从后赶来。操迤逦奔逃，追兵渐远，回顾众将多已带伤。
周瑜,鲁肃,0.8222939968109131,0.8222939968109131,mutual_semantic_context_similarity,CONTEXT001106,46,肃辞去，入帐见周瑜，瑜邀入帐后。肃曰：「今日何故痛责黄公覆？」瑜曰：「诸将怨否？」肃曰：「多有心中不安者。」瑜曰：「孔明之意若何？」肃曰：「他也埋怨都督忒薄情。」瑜笑曰：「今番须瞒过他也。」肃曰：「,CONTEXT004523,82,」曹丕笑曰：「此欲退蜀兵故也。」即令召入。咨拜伏于丹墀。丕览表毕，遂问咨曰：「吴侯乃何如主也？」咨曰：「聪明仁智雄略之主也。」丕笑曰：「卿褒奖毋乃太甚？」咨曰：「臣非过誉也。吴侯纳鲁肃于凡品，是其聪明也；拔吕蒙于行阵，是其明也；获于禁而不害，是其仁也；取荆州兵不血刃，是其智也；据三江虎视天下，是其雄也；屈身于陛下，是其略也：--以此论之，岂不为聪明仁智雄略之主乎
张郃,魏延,0.8116903305053711,0.8116903305053711,mutual_semantic_context_similarity,CONTEXT002137,71,却说张郃，徐晃，领兵追至蜀寨，天色已暮；见寨中偃旗息鼓，又见赵云匹马单枪，立于营外，寨门大开，二将不敢前进。正疑之间，曹操亲到，急催督众军向前。众军听令，大喊一声，杀奔营前；见赵云全然不动,CONTEXT004356,72,曹兵方回头时，孔明号旗举起。玄德中军领兵便出，黄忠左边杀来，赵云右边杀来。曹兵大溃而逃。孔明连夜追赶。操传令军回南郑。只见五路火起。原来魏延，张飞，得严颜代守阆中，分兵杀来，先得了南郑。
张昭,顾雍,0.8113197684288025,0.8113197684288025,mutual_semantic_context_similarity,CONTEXT001903,29,纮谏曰：「乘人之丧而伐之，既非义举；若其不克，弃好成仇；不如因而善遇之。」操然其说，乃即奏封孙权为将军，兼领会稽太守；既令张纮为会稽都尉，赍印往江东。孙权大喜，又得张纮回吴，即命与张昭同理政事。张纮又荐一人于孙权。此人姓顾，名雍，子元叹，乃中郎蔡邕之徒；其为人少言语，不饮酒，严厉正大。权以为丞，行太守事。自是孙权威震江东，深得民心。,CONTEXT004179,44,鲁肃上马去了。周瑜方才歇息。忽报张昭、顾雍、张纮、步骘四人来相探。瑜接入堂中坐定，叙寒温毕。张昭曰：「都督知江东之利害否？」瑜曰：「未知也。」昭曰：「曹操拥众百万，屯于汉上，昨传檄文至此，欲请主公会猎于江夏。虽有相吞之意，
张昭,诸葛瑾,0.7996741533279419,0.7996741533279419,mutual_semantic_context_similarity,CONTEXT001903,29,纮谏曰：「乘人之丧而伐之，既非义举；若其不克，弃好成仇；不如因而善遇之。」操然其说，乃即奏封孙权为将军，兼领会稽太守；既令张纮为会稽都尉，赍印往江东。孙权大喜，又得张纮回吴，即命与张昭同理政事。张纮又荐一人于孙权。此人姓顾，名雍，子元叹，乃中郎蔡邕之徒；其为人少言语，不饮酒，严厉正大。权以为丞，行太守事。自是孙权威震江东，深得民心。,CONTEXT003530,66,却说孙权要索荆州。张昭献计曰：「刘备所倚重者，诸葛亮耳。其兄诸葛瑾今仕于吴，何不将瑾老小执下，使瑾入川告其弟，令劝刘备交割荆州？『如其不还，必累及我老小，』亮念同胞之情，必然应允。」权曰：「诸葛瑾乃诚实君子，安忍拘其老小？」昭曰：「明教知是计策，
曹洪,许褚,0.7986630201339722,0.7986630201339722,mutual_semantic_context_similarity,CONTEXT002642,58,时徐晃正在关上点视粮草，闻曹洪下关厮杀，大惊，急引兵随后赶来，大叫曹洪回马；忽然背后喊声大震，马岱引军杀至。曹洪，徐晃急回走时，一棒鼓响，山背后两军截出：左是马超，右是庞德，混杀一阵。曹洪抵挡不住，折军大半，撞,CONTEXT003390,50,正说间，前军后军一齐发喊。操大惊，弃甲上马。众军多有不及收马者。早见四下火烟布合山口，一军摆开。为首乃燕人张翼德，横矛立马，大叫：「操贼走那里去！」诸军众将见了张飞，尽皆胆寒。许褚骑无鞍马来战张飞。张辽，徐晃二将，纵马也来夹攻。两边军马混战做一团。操先拨马走脱，诸将各自脱身。张飞从后赶来。操迤逦奔逃，追兵渐远，回顾众将多已带伤。
